Aircraft,Flight_Type,Origin    ,Destination,Departure_Date,Departure_Time,Arrival_Date,Arrival_Time,Estimated ArrivalTime,RealArrivalTime,EA_Time_Minutes,RA_Time_Minutes,Delay_Time
AAY2839,A320,Norfolk Intl (KORF),Orlando Sanford Intl (KSFB),04-03-2024,03:21PM,04.03.2024,05:01PM,0 days 01:32:00,2h 02m,92,122,30
AAY411,A320,Fort Lauderdale Intl (KFLL),Cincinnati/Northern Kentucky International Airport (KCVG),04.03.2024,03:21PM,04.03.2024,05:48PM,0 days 02:23:00,2h 52m,143,172,29
ABY552,A320,Sharjah Int'l (SHJ / OMSJ),Sialkot Int'l (SKT / OPST),05.03.2024,12:22AM,05.03.2024,03:57AM,0 days 02:35:00,2h 45m,155,165,10
AFR1384,A320,Charles de Gaulle/Roissy (CDG / LFPG),Tunis-Carthage Int'l (TUN / DTTA),04.03.2024,09:21PM,04.03.2024,11:29PM,0 days 02:07:00,2h 23m,127,143,16
AFR1748,A320,Charles de Gaulle/Roissy (CDG / LFPG),Malaga (AGP / LEMG),04.03.2024,09:20PM,04.03.2024,11:51PM,0 days 02:29:00,2h 49m,149,169,20
AFR6144,A320,Paris Orly (ORY / LFPO),Toulouse-Blagnac (TLS / LFBO),04.03.2024,09:21PM,04.03.2024,10:20PM,0 days 01:00:00,1h 10m,60,70,10
AMC615,A320,Leonardo da Vinci Int'l (Fiumicino Int'l) (FCO / LIRF),Malta Int'l (Luqa) (MLA / LMML),04.03.2024,09:21PM,04.03.2024,10:31PM,0 days 01:10:00,1h 09m,70,69,-1
ARE4012,A320,El Dorado Int'l (BOG / SKBO),Jose Maria Cordova Int'l (MDE / SKRG),04.03.2024,03:21PM,04.03.2024,03:59PM,0 days 00:38:00,1h 37m,38,97,59
AVA221,A320,Punta Cana Int'l (PUJ / MDPC),Jose Maria Cordova Int'l (MDE / SKRG),04.03.2024,04:22PM,04.03.2024,05:41PM,0 days 02:19:00,2h 39m,139,159,20
AZU4239,A320,Viracopos Int'l (VCP / SBKP),Marechal Rondon (CGB / SBCY),04.03.2024,05:21PM,04.03.2024,06:06PM,0 days 01:46:00,2h 06m,106,126,20
BEL2629,A320,Brussels (BRU / EBBR),Hamburg (HAM / EDDH),04.03.2024,09:19PM,04.03.2024,10:00PM,0 days 00:50:00,1h 30m,50,90,40
BEL3731,A320,Brussels (BRU / EBBR),Adolfo Suárez Madrid-Barajas (MAD / LEMD),04.03.2024,09:21PM,04.03.2024,11:46PM,0 days 02:25:00,2h 09m,145,129,-16
CEB563,A320,Manila Int'l (MNL / RPLL),Mactan-Cebu Int'l (CEB / RPVM),05.03.2024,04:22AM,05.03.2024,05:37AM,0 days 01:15:00,1h 08m,75,68,-7
CEB954,A320,Francisco Bangoy Int'l (DVO / RPMD),Manila Int'l (MNL / RPLL),05.03.2024,04:22AM,05.03.2024,06:02AM,0 days 01:40:00,1h 40m,100,100,0
DAL2674,A320,Reagan National (KDCA),Hartsfield-Jackson Intl (KATL),04.03.2024,03:20PM,04.03.2024,04:36PM,0 days 01:16:00,1h 42m,76,102,26
DLH1100,A320,Frankfurt Int'l (FRA / EDDF),Toulouse-Blagnac (TLS / LFBO),04.03.2024,09:20PM,04.03.2024,10:35PM,0 days 01:25:00,1h 25m,85,85,0
