"Aircraft","FlightType","Departure_Date","Departure_Time","Arrival_Date","Arrival_Time","EA_Time_Minutes","RA_Time_Minutes","Delay_Time","Delay_Predicted"
"12","A320","1","196","1","273","92","122","30","29.590264655640667"
"18","A320","1","196","1","306","143","172","29","28.497967482359883"
"27","A320","2","7","2","46","155","165","10","10.243150122229624"
"49","A320","1","347","1","477","127","143","16","16.07104555151423"
"51","A320","0","0","0","0","99.5","114","14.5","14.704154868864991"
"53","A320","1","347","1","443","60","70","10","10.491205240891448"
"73","A320","1","347","1","451","70","69","-1","-0.08534397695816942"
"89","A320","1","196","1","234","38","97","59","57.5460559008549"
"113","A320","1","234","1","302","139","159","20","19.87623523799556"
"165","A320","1","267","1","317","106","126","20","19.96240175289917"
"182","A320","1","345","1","433","50","90","40","39.29123854072459"
"183","A320","1","347","1","483","145","129","-16","-14.668138082730819"
"209","A320","2","30","2","56","75","68","-7","-5.853183956461477"
"213","A320","2","30","2","62","100","100","0","0.7954535688319613"
"289","A320","1","195","1","256","76","102","26","25.79551939520823"
"294","A320","1","346","1","453","85","85","0","0.8346201665154087"
"295","A320","1","347","1","436","45","44","-1","-0.020066314152414222"
"341","A320","1","347","1","449","68","88","20","20.06162380036389"
"346","A320","1","348","1","462","150","169","19","18.88838232520402"
"354","A320","1","348","1","486","197","239","42","40.825667365740856"
"355","A320","1","347","1","438","110","130","20","19.951957326850234"
"498","A320","1","268","1","429","266","289","23","22.422016934413477"
"509","A320","1","196","1","246","58","68","10","10.496427453915908"
"527","A320","1","197","1","242","112","136","24","23.783258078453898"
"566","A320","2","14","2","47","275","297","22","21.43938623464635"
"579","A320","2","14","2","60","150","150","0","0.6648982432204793"
"593","A320","1","346","1","455","80","90","10","10.438983110646847"
"613","A320","1","233","1","408","205","215","10","10.112594796618113"
"656","A320","1","171","1","296","128","158","30","29.496264821200384"
"665","A320","1","170","1","224","70","88","18","18.13814010502537"
"694","A320","1","347","1","377","133","145","12","12.21885594781273"
"21","A320","1","204","1","285","138","178","40","39.06146116764836"
"55","A320","1","354","1","464","78","88","10","10.444205323671314"
"81","A320","2","74","2","130","86","115","29","28.646800553557"
"95","A320","1","202","1","250","45","109","64","62.32343186105443"
"103","A320","1","204","1","237","21","30","9","9.63390765371138"
"115","A320","1","205","1","231","6","36","30","29.81481981569243"
"125","A320","1","205","1","245","33","53","20","20.15301252829194"
"167","A320","1","243","1","380","114","133","19","18.98238215964429"
"172","A320","1","356","1","441","92","123","31","30.549395396797692"
"259","A320","2","27","2","77","136","149","13","13.170153369433054"
"281","A320","1","202","1","283","95","124","29","28.62330059494694"
"288","A320","1","204","1","269","76","93","17","17.163342724794973"
"301","A320","1","354","1","468","80","76","-4","-2.988847265551554"
"342","A320","1","353","1","441","35","54","19","19.188659574110446"
"356","A320","1","332","1","469","143","163","20","19.865790811946653"
"360","A320","1","353","1","486","187","211","24","23.587425090036646"
"365","A320","1","333","2","20","252","253","1","1.3576961201300737"
"378","A320","1","353","1","452","111","130","19","18.990215479180975"
"387","A320","1","353","1","423","45","68","23","22.99907147361627"
"391","A320","1","394","2","28","95","95","0","0.8085091013931152"
"418","A320","2","32","2","74","260","260","0","0.37767652687517916"
"428","A320","1","355","1","458","60","78","18","18.16425117014768"
"445","A320","1","356","1","474","90","113","23","22.881571680565926"
"453","A320","1","204","1","330","157","189","32","31.338804214659774"
"456","A320","1","206","1","281","89","117","28","27.679836492863302"
"457","A320","1","203","1","299","139","138","-1","-0.2655103263020333"
"505","A320","1","355","1","484","206","227","21","20.660421842833188"
"524","A320","1","202","1","319","175","230","55","53.35181134405127"
"536","A320","1","243","1","339","80","189","109","105.39292648519266"
"587","A320","1","206","1","277","125","100","-25","-23.24809262289949"
"592","A320","1","352","1","484","65","144","79","76.65817084816527"
"595","A320","1","354","1","460","40","86","46","45.07213405278906"
"604","A320","1","278","1","328","55","35","-20","-18.26966146125826"
"607","A320","1","277","1","336","140","155","15","15.077970425698199"
"612","A320","1","276","1","389","173","150","-23","-21.455164253172484"
"644","A320","1","161","1","299","65","198","133","128.4512308706448"
"654","A320","1","161","1","212","150","154","4","4.50142120784861"
"657","A320","1","162","1","219","84","171","87","84.2816057536891"
"669","A320","1","178","1","258","116","126","10","10.344983276206579"
"117","A320","1","237","1","290","37","45","8","8.632999208358678"
"296","A320","1","372","1","488","95","110","15","15.195470218748541"
"442","A320","1","372","1","470","32","40","8","8.646054740919825"
"529","A320","1","236","1","353","155","173","18","17.916196051485855"
"623","A320","1","349","1","436","42","55","13","13.415597381582666"
"10","A320","1","236","1","336","122","135","13","13.206708860604296"
"504","A320","1","372","1","475","101","108","7","7.506757650418935"
"80","A320","2","94","2","128","42","58","16","16.292989605053755"
"405","A320","2","47","2","68","65","80","15","15.273803414115436"
"550","A320","2","8","2","22","55","70","15","15.299914479237737"
"617","A320","1","270","1","371","70","95","25","24.852055293124565"
"402","A320","2","46","2","64","70","90","20","20.056401587339423"
"15","A320","2","228","2","319","152","162","10","10.250983441766296"
"31","A320","3","4","3","60","280","280","0","0.32545439663056364"
"34","A320","2","389","2","489","25","59","34","33.60173175658817"
"114","A320","2","227","2","256","41","61","20","20.132123676194098"
"120","A320","2","230","2","267","38","62","24","23.9764799603589"
"123","A320","2","230","2","254","20","78","58","56.633925076918004"
"124","A320","2","228","2","272","50","99","49","47.92341521113785"
"129","A320","2","226","2","260","35","91","56","54.67649699692049"
"205","A320","3","40","3","59","35","35","0","0.9651754921269049"
"208","A320","3","41","3","63","55","64","9","9.54513003229557"
"282","A320","2","227","2","295","81","110","29","28.659856086118154"
"285","A320","2","226","2","298","88","113","25","24.805055375904445"
"286","A320","2","194","2","230","158","181","23","22.704016437734282"
"348","A320","2","367","2","433","60","82","22","22.000774134775796"
"350","A320","2","368","2","435","57","75","18","18.17208448968436"
"368","A320","2","369","2","440","63","75","12","12.401633403668813"
"377","A320","2","369","2","439","59","73","14","14.330339312031791"
"401","A320","3","39","3","53","21","94","73","71.0182750877612"
"407","A320","3","42","3","71","80","112","32","31.53985941610148"
"436","A320","2","344","3","7","129","142","13","13.18843111501866"
"440","A320","2","368","2","468","45","67","22","22.039940732459243"
"451","A320","2","229","2","287","65","90","25","24.86511082568572"
"459","A320","2","260","2","334","163","179","16","15.977045717073937"
"466","A320","2","228","2","336","178","186","8","8.264833190134285"
"475","A320","3","61","3","104","50","80","30","29.699931129154308"
"486","A320","3","4","3","23","50","60","10","10.517316306013742"
"491","A320","3","21","3","50","285","295","10","9.903706275639708"
"514","A320","2","227","2","290","75","99","24","23.8798690194064"
"556","A320","3","13","3","49","150","160","10","10.256205654790763"
"591","A320","3","3","3","31","85","95","10","10.425927578085693"
"597","A320","2","227","2","254","84","125","41","40.1615916604658"
"605","A320","2","292","2","379","85","95","10","10.425927578085693"
"609","A320","2","292","2","402","140","150","10","10.282316719913043"
"620","A320","2","343","3","1","230","247","17","16.761232321911564"
"633","A320","3","22","3","66","125","135","10","10.321483317596519"
"643","A320","2","191","2","276","237","266","29","28.252523470210292"
"699","A320","2","194","2","311","103","125","22","21.888496554749892"
"1","A320","2","239","2","289","54","85","31","30.64861744426242"
"2","A320","2","199","2","268","83","103","20","20.022457202680442"
"5","A320","2","198","2","313","97","109","12","12.312855782252997"
"80","A320","3","94","3","124","39","59","20","20.137345889218558"
"87","A320","2","241","2","274","33","37","4","4.8069206697794815"
"98","A320","2","236","2","269","13","43","30","29.796542070106817"
"107","A320","2","373","2","474","56","60","4","4.7468652199981936"
"130","A320","2","240","2","304","75","75","0","0.8607312316377165"
"134","A320","2","241","2","312","112","114","2","2.682381772999266"
"163","A320","2","301","2","344","78","100","22","21.953774217555647"
"168","A320","2","270","2","400","117","140","23","22.811071804735704"
"236","A320","3","31","3","85","145","145","0","0.6779537757816474"
"290","A320","2","199","2","247","55","70","15","15.299914479237737"
"298","A320","2","373","2","473","55","55","0","0.9129533618823107"
"364","A320","2","350","2","441","48","75","27","26.827761118707684"
"370","A320","2","349","2","442","39","65","26","25.892130336160726"
"379","A320","2","351","2","466","91","120","29","28.63374502099586"
"393","A320","2","392","3","37","115","115","0","0.7562869711485138"
"417","A320","2","158","2","281","165","172","7","7.339646833636211"
"434","A320","2","375","2","472","45","45","0","0.9390644270046113"
"437","A320","3","23","3","106","270","260","-10","-9.239741949817413"
"446","A320","2","391","3","43","190","190","0","0.5604539827312767"
"483","A320","3","62","3","118","139","140","1","1.6527511560120178"
"489","A320","3","9","3","40","165","165","0","0.6257316455370319"
"500","A320","2","301","2","395","110","110","0","0.7693425037096677"
"511","A320","2","238","2","287","55","55","0","0.9129533618823107"
"516","A320","2","240","2","424","305","305","0","0.26017673382483686"
"530","A320","2","236","2","348","155","169","14","14.079673086857726"
"569","A320","2","200","2","420","305","325","20","19.44279155696546"
"581","A320","3","19","3","48","240","234","-6","-5.324885789822359"
"590","A320","3","8","3","33","85","114","29","28.649411660069234"
"599","A320","2","199","2","229","20","40","20","20.186956912950926"
"642","A320","2","157","2","244","115","102","-13","-11.712412663892847"
"662","A320","2","241","2","324","170","160","-10","-8.97863129859442"
"670","A320","2","201","2","285","110","110","0","0.7693425037096677"
"679","A320","2","373","2","475","125","125","0","0.7301759060262203"
"1","A320","2","239","2","289","54","85","31","30.64861744426242"
"614","A320","2","296","2","398","120","135","15","15.130192555942815"
"371","A320","2","370","2","480","79","95","16","16.196378664101246"
"525","A320","2","232","2","289","74","85","11","11.41378049087726"
"79","A320","3","90","3","122","59","70","11","11.4529470885607"
"722","A320","2","371","3","19","100","125","25","24.77372209775767"
"33","A320","3","293","3","348","36","47","11","11.513002538341988"
"47","A320","3","262","3","368","139","155","16","16.039712273367456"
"72","A320","3","355","3","464","70","85","15","15.260747881554282"
"122","A320","3","117","3","159","76","96","20","20.040734948266063"
"139","A320","4","5","3","482","30","30","0","0.9782310246880588"
"164","A320","3","153","3","198","111","134","23","22.826738443809106"
"171","A320","3","231","3","347","95","123","28","27.664169853789915"
"179","A320","3","230","3","370","143","162","19","18.9066600707896"
"181","A320","3","262","3","282","74","91","17","17.168564937819426"
"187","A320","3","294","3","342","90","90","0","0.821564633954269"
"217","A320","4","5","4","32","89","111","22","21.925052045921134"
"297","A320","3","263","3","319","55","70","15","15.299914479237737"
"314","A320","3","263","3","339","85","91","6","6.589404613457576"
"322","A320","3","230","3","293","74","86","12","12.372911232034285"
"345","A320","3","262","3","340","87","71","-16","-14.51669390502151"
"375","A320","3","230","3","262","32","47","15","15.359969929019025"
"383","A320","3","261","3","259","30","40","10","10.569538436258343"
"410","A320","3","293","3","355","45","65","20","20.121679250145178"
"469","A320","3","116","3","194","171","157","-14","-12.817765369734756"
"534","A320","3","89","3","175","121","142","21","20.882365896372733"
"575","A320","3","295","3","375","75","94","19","19.084215313621257"
