"Aircraft","FlightType","Origin","Destination","Departure_Date","Departure_Time","Arrival_Date","Arrival_Time","EA_Time_Minutes","RA_Time_Minutes","Delay_Time","Predicted_Delay_Time"
"AFR1748","A320","Charles de Gaulle/Roissy (CDG / LFPG)","Malaga (AGP / LEMG)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"AFL1386","A320","Near Nizhny Novgorod",NULL,"07.03.2024","11:53",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"FHY988","A320","Adolfo Suárez Madrid-Barajas (MAD / LEMD)",NULL,"08.03.2024","11:38",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"JAP7780","A320","Jorge Chávez Int'l (LIM / SPJC)",NULL,"09.03.2024","15:09",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"AEE6005","A320","Thessaloniki Int'l, Makedonia (SKG / LGTS)",NULL,"09.03.2024","23:00",NULL,NULL,NULL,"12",NULL,"-97.38919667590028"
"BIX2517","A320","Gran Canaria Int'l (LPA / GCLP)",NULL,"09.03.2024","21:01",NULL,NULL,NULL,"11",NULL,"-98.38919667590028"
"LAN13","A320","Comodoro Arturo Merino Benitez Int'l (SCL / SCEL)",NULL,"09.03.2024","18:01",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"N230AC","A320","Los Garzones (MTR / SKMR)",NULL,"09.03.2024","16:00",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"GLG1639","A320","Jose Joaquin de Olmedo Int'l (GYE / SEGU)",NULL,"09.03.2024","17:06",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"JAP7294","A320","Jorge Chávez Int'l (LIM / SPJC)",NULL,"09.03.2024","17:05",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"AVA8562","A320","Antonio Narino (PSO / SKPS)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"CCA8233","A320","Wuhan Tianhe (WUH / ZHHH)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"BAW890","A320","London Heathrow (LHR / EGLL)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"EZY1557","A320","Geneva Cointrin Int'l (GVA / LSGG)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"GAP2824","A320","Francisco Bangoy Int'l (DVO / RPMD)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"AMC625","A320","Linate (LIN / LIML)",NULL,"08.03.2024","15:51",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"5AK5112","A320","El Dorado Int'l (BOG / SKBO)",NULL,"08.03.2024","09:50",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"RYL411","A320","Near Wuzhou"," Guangxi",NULL,NULL,"08.03.2024","22:50",NULL,NULL,NULL,"14.425207756232687"
"LAN420","A320","Jorge Newbery (AEP / SABE)",NULL,"08.03.2024","11:50",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"JAP7224","A320","Jorge Chávez Int'l (LIM / SPJC)",NULL,"08.03.2024","09:49",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"SAS767","A320","Copenhagen (CPH / EKCH)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"CJL206","A320","Toronto Pearson Int'l (CYYZ)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"TAR722","A320","Tunis-Carthage Int'l (TUN / DTTA)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"AAY354","A320","Orlando Sanford Intl (KSFB)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"EWG9801","A320","Orio al Serio Int'l (BGY / LIME)",NULL,"08.03.2024","15:46",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"VTI590","A320","Manohar International Airport (GOX / VOGA)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"EWG9801","A320","Orio al Serio Int'l (BGY / LIME)",NULL,"08.03.2024","15:46",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"VIV3045","A320","General Heriberto Jara Int'l (VER / MMVR)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"SJV745","A320","Ngurah Rai/Bali Intl (DPS / WADD)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"VOE1134","A320","Olbia-Costa Smeralda (OLB / LIEO)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"FHY8014","A320","Antalya (AYT / LTAI)",NULL,"10.03.2024","12:07",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"JBU729","A320","Rafael Hernandez (BQN / TJBQ)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"JSA535","A320","Singapore Changi (SIN / WSSS)",NULL,"10.03.2024","17:06",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"EWG6812","A320","Palma de Mallorca (or Son Sant Joan) (PMI / LEPA)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"VLG1174","A320","Valencia (VLC / LEVC)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"EWG22H","A320","Nice Cote d'Azur (NCE / LFMN)",NULL,"10.03.2024","11:05",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"VLG8482","A320","Václav Havel Airport (PRG / LKPR)",NULL,"10.03.2024","11:03",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"VLG8482","A320","Václav Havel Airport (PRG / LKPR)",NULL,"10.03.2024","11:03",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"AIC3450","A320","Near Kullu / Manali",NULL,"10.03.2024","14:33",NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
"OTC7275","A320","Changsha Huanghua Int'l (CSX / ZGHA)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14.425207756232687"
