web-scraper-order,web-scraper-start-url,Aire320,Aire320-href,Aircraft,Aircraft-href,RealArrivalTime
"1709673366-1","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AVA9547","https://www.flightaware.com/live/flight/id/AVA9547-1709499782-schedule-162p%3a0","1h 31m"
"1709673372-2","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","DAL2050","https://www.flightaware.com/live/flight/id/DAL2050-1709442741-fa-354p%3a0","1h 53m"
"1709673378-3","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","VIV4227","https://www.flightaware.com/live/flight/id/VIV4227-1709498852-schedule-1448p%3a0","1h 57m"
"1709673383-4","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","TAI316","https://www.flightaware.com/live/flight/id/TAI316-1709498852-schedule-1878p%3a0","2h 05m"
"1709673390-5","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","LPE2330","https://www.flightaware.com/live/flight/id/LPE2330-1709499782-schedule-229p%3a0","1h 39m"
"1709673396-6","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","UAL1243","https://www.flightaware.com/live/flight/id/UAL1243-1709446520-fa-45p%3a0","4h 26m"
"1709673401-7","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","GAP2203","https://www.flightaware.com/live/flight/id/GAP2203-1709498858-schedule-278p","1h 34m"
"1709673408-8","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","JBU1754","https://www.flightaware.com/live/flight/id/JBU1754-1709498853-schedule-241p%3a0","2h 59m"
"1709673413-9","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AVA4813","https://www.flightaware.com/live/flight/id/AVA4813-1709498852-schedule-2017p%3a0","1h 01m"
"1709673420-10","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","WZZ2517","https://www.flightaware.com/live/flight/id/WZZ2517-1709622315-eb-5651p%3a0","0h 07m"
"1709673426-11","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","DAL1389","https://www.flightaware.com/live/flight/id/DAL1389-1709442770-fa-825p%3a0","1h 50m"
"1709673432-12","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","TAM3116","https://www.flightaware.com/live/flight/id/TAM3116-1709671448-adhoc-2378p%3a0","0h 06m"
"1709673438-13","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AVA9205","https://www.flightaware.com/live/flight/id/AVA9205-1709498852-schedule-1908p%3a0","1h 39m"
"1709673444-14","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AEE218","https://www.flightaware.com/live/flight/id/AEE218-1709498858-schedule-154p%3a0","0h 59m"
"1709673450-15","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AAY3187","https://www.flightaware.com/live/flight/id/AAY3187-1709500713-schedule-4950p%3a0","2h 42m"
"1709673462-16","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","JBU371","https://www.flightaware.com/live/flight/id/JBU371-1709498852-schedule-1790p%3a0","3h 06m"
"1709673471-17","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","KAC382","https://www.flightaware.com/live/flight/id/KAC382-1709499784-schedule-325p%3a0","4h 55m"
"1709673477-18","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","SVA1054","https://www.flightaware.com/live/flight/id/SVA1054-1709499478-airline-2199p%3a0","1h 35m"
"1709673483-19","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","EZY2114","https://www.flightaware.com/live/flight/id/EZY2114-1709498858-schedule-50p%3a0","1h 22m"
"1709673488-20","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","CEB203","https://www.flightaware.com/live/flight/id/CEB203-1709500715-schedule-1008p%3a0","0h 35m"
"1709673495-21","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","PIA258","https://www.flightaware.com/live/flight/id/PIA258-1709499784-schedule-305p%3a0","2h 40m"
"1709673501-22","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","CEB551","https://www.flightaware.com/live/flight/id/CEB551-1709659527-sw-1130p%3a0","1h 04m"
"1709673508-23","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","JZR228","https://www.flightaware.com/live/flight/id/JZR228-1709496741-schedule-1351p%3a0","1h 00m"
"1709673514-24","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","JST403","https://www.flightaware.com/live/flight/id/JST403-1709500715-schedule-1035p%3a8","1h 20m"
"1709673520-25","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","ITY1603","https://www.flightaware.com/live/flight/id/ITY1603-1709499784-schedule-168p%3a0","1h 07m"
"1709673526-26","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","EZY2168","https://www.flightaware.com/live/flight/id/EZY2168-1709498858-schedule-23p%3a0","1h 15m"
"1709673530-27","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","ABY945","https://www.flightaware.com/live/flight/id/ABY945-1709499784-schedule-298p%3a0","4h 40m"
"1709673538-28","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","VOI135","https://www.flightaware.com/live/flight/id/VOI135-1709499161-airline-2019p%3a0","2h 05m"
"1709673546-29","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","JBU1130","https://www.flightaware.com/live/flight/id/JBU1130-1709500713-schedule-5228p%3a0","1h 30m"
"1709673554-30","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","DAL2260","https://www.flightaware.com/live/flight/id/DAL2260-1709442723-fa-560p%3a0","3h 01m"
"1709673560-31","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","TAP1549","https://www.flightaware.com/live/flight/id/TAP1549-1709499784-schedule-148p%3a0","4h 07m"
"1709673569-32","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","THA314","https://www.flightaware.com/live/flight/id/THA314-1709497936-schedule-444p%3a0","2h 15m"
"1709673579-33","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","TAM3631","https://www.flightaware.com/live/flight/id/TAM3631-1709494898-schedule-1375p%3a0","2h 30m"
"1709673589-34","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","TAM3102","https://www.flightaware.com/live/flight/id/TAM3102-1709496740-schedule-1530p%3a0","1h 35m"
"1709673596-35","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AVA8598","https://www.flightaware.com/live/flight/id/AVA8598-1709499782-schedule-275p%3a0","1h 18m"
"1709673601-36","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AVA8518","https://www.flightaware.com/live/flight/id/AVA8518-1709499782-schedule-360p%3a0","1h 02m"
"1709673610-37","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","GAP2967","https://www.flightaware.com/live/flight/id/GAP2967-1709498858-schedule-285p%3a0","1h 52m"
"1709673615-38","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","EZY7652","https://www.flightaware.com/live/flight/id/EZY7652-1709500714-schedule-1235p%3a0","1h 13m"
"1709673622-39","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","EZY3302","https://www.flightaware.com/live/flight/id/EZY3302-1709498858-schedule-131p%3a0","1h 15m"
"1709673629-40","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","IBS3849","https://www.flightaware.com/live/flight/id/IBS3849-1709499784-schedule-162p%3a0","2h 22m"
