ABY624,A320,Sharjah Int'l (SHJ / OMSJ),Cairo Int'l (CAI / HECA),Fri 01:22PM +04,Fri 03:12PM EET,03:50:00,,ABY624,3h 53m
ADY730,A320,Abu Dhabi Int'l (AUH / OMAA),Heydar Aliyev Int'l (GYD / UBBB),Fri 01:23PM +04,Fri 04:13PM +04,02:50:00,,ADY730,2h 50m
AFR7304,A320,Charles de Gaulle/Roissy (CDG / LFPG),Nice Cote d'Azur (NCE / LFMN),Fri 10:22AM CET,Fri 11:33AM CET,01:11:00,,AFR7304,1h 36m
APG777,A320,Manila Int'l (MNL / RPLL),Mactan-Cebu Int'l (CEB / RPVM),Fri 05:22PM PST,Fri 06:27PM PST,01:05:00,,APG777,1h 05m
ARE4055,A320,El Dorado Int'l (BOG / SKBO),Alfonso Bonilla Aragon Int'l (CLO / SKCL),Fri 04:22AM -05,Fri 05:07AM -05,00:45:00,,ARE4055,1h 05m
AWQ325,A320,Kuala Lumpur Int'l (KUL / WMKK),Juanda Int'l (SUB / WARR),Fri 05:22PM +08,Fri 06:52PM WIB,02:30:00,,AWQ325,2h 30m
AXM6085,A320,Sultan Azlan Shah (IPH / WMKI),Senai Int'l (Sultan Ismail Int'l) (JHB / WMKJ),Fri 05:22PM +08,Fri 06:07PM +08,00:45:00,,AXM6085,0h 45m
AXM6138,A320,Kuala Lumpur Int'l (KUL / WMKK),Penang Int'l (PEN / WMKP),Fri 05:20PM +08,Fri 06:05PM +08,00:45:00,,CQH7025,2h 29m
BTK7062,A320,Sultan Syarif Qasim II Int'l (Simpang Tiga) (PKU / WIBB),Halim Perdanakusuma Int'l (HLP / WIHH),Fri 04:21PM WIB,Fri 05:51PM WIB,01:30:00,,CQN2133,0h 08m
CHB6404,A320,Xishuangbanna Gasa (JHG / ZPJH),Chongqing Jiangbei Int'l (CKG / ZUCK),Fri 05:21PM CST,Fri 06:59PM CST,01:38:00,,CTV978,2h 10m
CQN2133,A320,"Near Guangzhou, Guangdong",,Fri 05:22PM CST,,,,EJU4222,1h 58m
CTV978,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Kuala Namu International (KNO / WIMM),Fri 04:22PM WIB,Fri 06:22PM WIB,02:00:00,,EZY8487,2h 05m
EJU4222,A320,Basle-Mulhouse (EAP / LFSB),Naples Int'l (Capodichino) (NAP / LIRN),Fri 10:23AM CET,Fri 11:40AM CET,01:17:00,,EZY8638,1h 47m
EZS1006,A320,Malaga (AGP / LEMG),Basle-Mulhouse (EAP / LFSB),Fri 10:20AM CET,Fri 12:25PM CET,02:05:00,,JJP517,2h 15m
EZS1493,A320,Geneva Cointrin Int'l (GVA / LSGG),Pristina (PRN / BKPR),Fri 10:23AM CET,Fri 11:49AM CET,01:26:00,,LAO303,0h 55m
EZY7732,A320,Basle-Mulhouse (EAP / LFSB),Porto / Oporto (OPO / LPPR),Fri 10:21AM CET,Fri 11:28AM WET,02:07:00,,NWK1610,1h 10m
