Aircraft,Flight Type,Origin,Destination,Departure Time,Arrival Time,Estimated Arrival Time,RealArrivalTime
AFL1234,A320,Sheremetyevo Int'l (SVO / UUEE),Ufa Int'l (UFA / UWUU),Fri 11:54AM MSK,Fri 03:15PM +05,01:36:00,1h 31m
AFL1386,A320,Near Nizhny Novgorod,,Fri 11:53AM MSK,,,0h 05m
AIQ3017,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Phuket Int'l (HKT / VTSP),Fri 03:53PM +07,Fri 05:08PM +07,01:15:00,1h 20m
AXM239,A320,Kota Kinabalu Int'l (BKI / WBKK),Hong Kong Int'l (HKG / VHHH),Fri 04:54PM +08,Fri 07:44PM HKT,02:50:00,2h 51m
AXM385,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Kuala Lumpur Int'l (KUL / WMKK),Fri 03:55PM WIB,Fri 06:45PM +08,01:50:00,1h 50m
AXM5112,A320,Kuala Lumpur Int'l (KUL / WMKK),Kota Kinabalu Int'l (BKI / WBKK),Fri 04:54PM +08,Fri 07:09PM +08,02:15:00,2h 15m
CSC6796,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Chengdu Tianfu Int'l (TFU / ZUTF),Fri 04:54PM CST,Fri 07:06PM CST,02:12:00,2h 17m
CTV195,A320,Ngurah Rai/Bali Intl (DPS / WADD),Halim Perdanakusuma Int'l (HLP / WIHH),Fri 04:55PM WITA,Fri 05:25PM WIB,01:30:00,2h 00m
EWG7581,A320,Palma de Mallorca (or Son Sant Joan) (PMI / LEPA),Hamburg (HAM / EDDH),Fri 09:54AM CET,Fri 12:24PM CET,02:30:00,2h 40m
EZY2184,A320,Geneva Cointrin Int'l (GVA / LSGG),Manchester (MAN / EGCC),Fri 09:53AM CET,Fri 10:05AM GMT,01:12:00,1h 42m
EZY322,A320,Bristol Int'l (BRS / EGGD),Edinburgh (EDI / EGPH),Fri 08:53AM GMT,Fri 09:29AM GMT,00:36:00,0h 56m
OTC7771,A320,Changsha Huanghua Int'l (CSX / ZGHA),Chengdu Tianfu Int'l (TFU / ZUTF),Fri 04:53PM CST,Fri 06:34PM CST,01:41:00,2h 05m
PGT1261,A320,Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),Rotterdam (RTM / EHRD),Fri 11:55AM +03,Fri 01:15PM CET,03:30:00,3h 40m
VTI691,A320,Indira Gandhi Int'l (DEL / VIDP),Sri Guru Ram Dass Jee International Airport (ATQ / VIAR),Fri 02:24PM IST,Fri 03:14PM IST,00:50:00,1h 11m
VTI819,A320,Indira Gandhi Int'l (DEL / VIDP),Bengaluru Int'l (BLR / VOBL),Fri 02:23PM IST,Fri 04:46PM IST,02:25:00,2h 37m
XLE903,A320,Murtala Mohammed Int'l (LOS / DNMM),,Fri 09:53AM WAT,,,1h 50m
ABY624,A320,Sharjah Int'l (SHJ / OMSJ),Cairo Int'l (CAI / HECA),Fri 01:22PM +04,Fri 03:12PM EET,03:50:00,3h 53m
ADY730,A320,Abu Dhabi Int'l (AUH / OMAA),Heydar Aliyev Int'l (GYD / UBBB),Fri 01:23PM +04,Fri 04:13PM +04,02:50:00,2h 50m
AFR7304,A320,Charles de Gaulle/Roissy (CDG / LFPG),Nice Cote d'Azur (NCE / LFMN),Fri 10:22AM CET,Fri 11:33AM CET,01:11:00,1h 36m
APG777,A320,Manila Int'l (MNL / RPLL),Mactan-Cebu Int'l (CEB / RPVM),Fri 05:22PM PST,Fri 06:27PM PST,01:05:00,1h 05m
ARE4055,A320,El Dorado Int'l (BOG / SKBO),Alfonso Bonilla Aragon Int'l (CLO / SKCL),Fri 04:22AM -05,Fri 05:07AM -05,00:45:00,1h 05m
AWQ325,A320,Kuala Lumpur Int'l (KUL / WMKK),Juanda Int'l (SUB / WARR),Fri 05:22PM +08,Fri 06:52PM WIB,02:30:00,2h 30m
AXM6085,A320,Sultan Azlan Shah (IPH / WMKI),Senai Int'l (Sultan Ismail Int'l) (JHB / WMKJ),Fri 05:22PM +08,Fri 06:07PM +08,00:45:00,0h 45m
VLG8722,A320,Barcelona Int'l (BCN / LEBL),Dublin Int'l (DUB / EIDW),Fri 01:10PM CET,Fri 02:38PM GMT,02:28:00,2h 48m
CTV978,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Kuala Namu International (KNO / WIMM),Fri 04:22PM WIB,Fri 06:22PM WIB,02:00:00,2h 10m
EZY8638,A320,Munich Int'l (MUC / EDDM),London Gatwick (LGW / EGKK),Fri 10:22AM CET,Fri 10:39AM GMT,01:17:00,1h 47m
JJP517,A320,Narita Int'l (NRT / RJAA),Fukuoka (FUK / RJFF),Fri 06:22PM JST,Fri 08:27PM JST,02:05:00,2h 15m
LAO303,A320,Wattay Int'l (VTE / VLVT),Pakse (PKZ / VLPS),Fri 04:23PM +07,Fri 05:18PM +07,00:55:00,0h 55m
NWK1610,A320,Perth Int'l (PER / YPPH),Kalgoorlie-Boulder (KGI / YPKG),Fri 05:23PM AWST,Fri 06:09PM AWST,00:36:00,1h 10m
TAM3056,A320,São Paulo-Congonhas (CGH / SBSP),Afonso Pena Int'l (CWB / SBCT),Fri 06:23AM -03,Fri 07:08AM -03,00:45:00,0h 57m
