Airborne Airbus A320 (twin-jet) (A320) Aircraft							
Ident	Type	Origin	Destination	Departure	EstimatedArrival Time	EstimatedTimeEnroute
AXM6183	A320	Miri (MYY / WBGR)	Kuching Int'l (KCH / WBGG)	Fri 05:57PM +08	Fri 06:37PM +08	00:40
SAA40	A320	OR Tambo Int'l (JNB / FAOR)	Victoria Falls (FVFA)	Fri 11:57AM SAST	Fri 01:12PM CAT	01:15
EZY2106	A320	Charles de Gaulle/Roissy (CDG / LFPG)	Manchester (MAN / EGCC)	Fri 10:57AM CET	Fri 10:45AM GMT	00:48
AXM5412	A320	Senai Int'l (Sultan Ismail Int'l) (JHB / WMKJ)	Kuching Int'l (KCH / WBGG)	Fri 05:57PM +08	Fri 07:02PM +08	01:05
EZY2260	A320	Keflavik Int'l (KEF / BIKF)	Manchester (MAN / EGCC)	Fri 09:57AM GMT	Fri 12:07PM GMT	02:10
ANA387	A320	Tokyo Int'l (Haneda) (HND / RJTT)	Miho Airfield (Yonago) (YGJ / RJOH)	Fri 06:57PM JST	Fri 08:02PM JST	01:05
IGO5328	A320	Chatrapati Shivaji Int'l (BOM / VABB)	Raipur (RPR / VERP)	Fri 03:27PM IST	Fri 04:47PM IST	01:20
JST534	A320	Melbourne Tullamarine (MEL / YMML)	Sydney (SYD / YSSY)	Fri 08:57PM AEDT	Fri 10:00PM AEDT	00:50
VOI953	A320	Fresno Yosemite Intl (KFAT)	Don Miguel Hidalgo y Costilla Int'l (GDL / MMGL)	Fri 01:57AM PST	Fri 07:09AM CST	03:12
AWQ508	A320	Ngurah Rai/Bali Intl (DPS / WADD)	Singapore Changi (SIN / WSSS)	Fri 05:57PM WITA	Fri 08:27PM +08	02:30
AWQ647	A320	Komodo (LBJ / WATO)	Ngurah Rai/Bali Intl (DPS / WADD)	Fri 05:57PM WITA	Fri 06:47PM WITA	00:50
SJV950	A320	Hang Nadim (BTH / WIDD)	Yogyakarta International Airport (YIA / WAHI)	Fri 04:56PM WIB	Fri 06:41PM WIB	01:45
CTV412	A320	Jakarta-Soekarno-Hatta Int'l (CGK / WIII)	Supadio (PNK / WIOO)	Fri 04:56PM WIB	Fri 06:16PM WIB	01:20
