web-scraper-order,web-scraper-start-url,Aire320,Aire320-href,Aircraft,Aircraft-href,RealArrivalTime
"1709899972-1","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","CTV84","https://www.flightaware.com/live/flight/id/CTV84-1709725505-airline-420p%3a0","1h 15m"
"1709899977-2","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","GXA3139","https://www.flightaware.com/live/flight/id/GXA3139-1709892937-sw-759p%3a0","0h 47m"
"1709899985-3","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","EZY330","https://www.flightaware.com/live/flight/id/EZY330-1709726234-schedule-210p%3a0","0h 52m"
"1709900011-4","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","VTI563","https://www.flightaware.com/live/flight/id/VTI563-1709726235-schedule-491p%3a0","2h 04m"
"1709900021-5","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","EJU7980","https://www.flightaware.com/live/flight/id/EJU7980-1709791227-fa-1028p%3a0","3h 31m"
"1709900028-6","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","FLI453","https://www.flightaware.com/live/flight/id/FLI453-1709725309-schedule-344p%3a0","2h 30m"
"1709900032-7","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","PK-SJM","https://www.flightaware.com/live/flight/id/PKSJM-1709899714-adhoc-909p","0h 35m"
"1709900047-8","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","CSN5131","https://www.flightaware.com/live/flight/id/CSN5131-1709836599-schedule-230p%3a0","1h 27m"
"1709900054-9","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","NKS3583","https://www.flightaware.com/live/flight/id/NKS3583-1709726233-schedule-212p%3a0","2h 48m"
"1709900071-10","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","JES3905","https://www.flightaware.com/live/flight/id/LVIVO-1709899595-adhoc-1946p%3a0","0h 06m"
"1709900081-11","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","CSZ9215","https://www.flightaware.com/live/flight/id/CSZ9215-1709725315-schedule-726p%3a0","2h 29m"
"1709900090-12","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","SJV191","https://www.flightaware.com/live/flight/id/SJV191-1709716247-schedule-559p%3a0","0h 35m"
"1709900100-13","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AAY2828","https://www.flightaware.com/live/flight/id/AAY2828-1709727097-airline-285p%3a0","2h 57m"
