,Unnamed: 0,Aircraft,Flight Type,Origin,Destination,Departure Time,Arrival Time,Estimated Arrival Time,RealArrivalTime,EA_Time,RA_Time
0,0,VLG6210,A320,Leonardo da Vinci Int'l (Fiumicino Int'l) (FCO / LIRF),Malaga (AGP / LEMG),Fri 03:54PM CET,Fri 06:19PM CET,0 days 02:25:00,2h 37m,145.0,157.0
1,1,JBU2795,A320,Fort Lauderdale Intl (KFLL),Cancun Int'l (CUN / MMUN),Fri 10:54AM EDT,Fri 11:47AM EST,0 days 01:53:00,2h 17m,113.0,137.0
2,2,AVA8562,A320,Antonio Narino (PSO / SKPS),,,,,,,
3,3,ARE4015,A320,Jose Maria Cordova Int'l (MDE / SKRG),El Dorado Int'l (BOG / SKBO),Fri 09:54AM -05,Fri 10:27AM -05,0 days 00:33:00,0h 49m,33.0,49.0
4,4,UAL1383,A320,Houston Bush Int'ctl (KIAH),John Wayne (KSNA),Fri 09:54AM CDT,Fri 11:13AM PDT,0 days 03:19:00,3h 33m,199.0,213.0
5,5,CCA8233,A320,Wuhan Tianhe (WUH / ZHHH),,,,,,,
6,6,BEL3738,A320,Malaga (AGP / LEMG),Brussels (BRU / EBBR),Fri 03:54PM CET,Fri 06:22PM CET,0 days 02:28:00,3h 18m,148.0,198.0
7,7,CSZ9994,A320,Qingdao Jiaodong Int'l (TAO / ZSQD),Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 10:53PM CST,Sat 02:04AM CST,0 days 03:02:00,2h 42m,182.0,162.0
8,8,EZY2151,A320,Manchester (MAN / EGCC),Istanbul Airport (IST / LTFM),Fri 02:53PM GMT,Fri 09:02PM +03,0 days 03:09:00,3h 2m,189.0,182.0
9,9,LDA9754,A320,Banja Luka Int'l (BNX / LQBK),Vienna Int'l (Schwechat) (VIE / LOWW),Fri 03:53PM CET,Fri 04:33PM CET,0 days 00:40:00,1h 18m,40.0,78.0
10,10,PGT1005,A320,Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),Dusseldorf Int'l (DUS / EDDL),Fri 05:53PM +03,Fri 07:03PM CET,0 days 03:10:00,3h 48m,190.0,228.0
11,11,EJU4301,A320,Lyon (LYS / LFLL),La Rochelle (LRH / LFBH),Fri 03:53PM CET,Fri 04:42PM CET,0 days 00:49:00,1h 11m,49.0,71.0
12,12,IBE3279,A320,Budapest Ferenc Liszt International Airport (BUD / LHBP),Adolfo Suárez Madrid-Barajas (MAD / LEMD),Fri 03:53PM CET,Fri 07:03PM CET,0 days 03:10:00,3h 53m,190.0,233.0
13,13,CSZ9935,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Changzhou Benniu (CZX / ZSCG),Fri 10:53PM CST,Sat 12:40AM CST,0 days 01:49:00,2h 32m,109.0,152.0
14,14,UAL2330,A320,Pensacola Intl (KPNS),Houston Bush Int'ctl (KIAH),Fri 09:53AM CDT,Fri 11:22AM CDT,0 days 01:30:00,1h 12m,90.0,72.0
15,15,AAY2466,A320,Albany Intl (KALB),Punta Gorda (KPGD),Fri 10:53AM EDT,Fri 01:40PM EDT,0 days 02:47:00,3h 37m,167.0,217.0
16,16,BAW890,A320,London Heathrow (LHR / EGLL),,,,,,,
17,17,AIQ3015,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Phuket Int'l (HKT / VTSP),Fri 09:53PM +07,Fri 10:58PM +07,0 days 01:05:00,0h 58m,65.0,58.0
18,18,KNE46,A320,King Abdulaziz Int'l (JED / OEJN),King Khalid Int'l (RUH / OERK),Fri 05:53PM +03,Fri 07:08PM +03,0 days 01:15:00,1h 41m,75.0,101.0
19,19,UAL224,A320,Chicago O'Hare Intl (KORD),Tucson Intl (KTUS),Fri 09:53AM CDT,Fri 11:39AM MST,0 days 03:50:00,3h 42m,230.0,222.0
20,20,VLG6367,A320,Santiago de Compostela (SCQ / LEST),San Pablo (SVQ / LEZL),Fri 03:53PM CET,Fri 04:57PM CET,0 days 01:04:00,0h 44m,64.0,44.0
21,21,DKH1754,A320,Dayong (DYG / ZGDY),Nanjing Lukou Int'l (NKG / ZSNJ),Fri 10:53PM CST,Sat 12:08AM CST,0 days 01:15:00,1h 25m,75.0,85.0
22,22,EZY8633,A320,London Gatwick (LGW / EGKK),Hamburg (HAM / EDDH),Fri 02:52PM GMT,Fri 04:49PM CET,0 days 00:57:00,0h 56m,57.0,56.0
23,23,AUA513,A320,Vienna Int'l (Schwechat) (VIE / LOWW),Malpensa Int'l (MXP / LIMC),Fri 03:52PM CET,Fri 04:57PM CET,0 days 01:05:00,0h 59m,65.0,59.0
24,24,EZS1031,A320,Basle-Mulhouse (EAP / LFSB),Valencia (VLC / LEVC),Fri 03:52PM CET,Fri 05:32PM CET,0 days 01:40:00,1h 56m,100.0,116.0
25,25,AWQ555,A320,Kuala Lumpur Int'l (KUL / WMKK),Ngurah Rai/Bali Intl (DPS / WADD),Fri 10:52PM +08,Sat 01:32AM WITA,0 days 02:40:00,2h 43m,160.0,163.0
26,26,EZY1557,A320,Geneva Cointrin Int'l (GVA / LSGG),,,,,,,
27,27,LDA8792,A320,Beauvais Tille (BVA / LFOB),Zagreb Pleso (ZAG / LDZA),Fri 03:52PM CET,Fri 05:32PM CET,0 days 01:40:00,1h 29m,100.0,89.0
28,28,KNE788,A320,King Khalid Int'l (RUH / OERK),Prince Mohammad Bin Abdulaziz (MED / OEMA),Fri 05:52PM +03,Fri 07:12PM +03,0 days 01:20:00,1h 57m,80.0,117.0
29,29,TGW581,A320,Visakhapatnam (VTZ / VOVZ),Singapore Changi (SIN / WSSS),Fri 08:22PM IST,Sat 02:35AM +08,0 days 03:55:00,4h 20m,235.0,260.0
30,30,ARE4178,A320,El Dorado Int'l (BOG / SKBO),Palonegro (BGA / SKBG),Fri 09:52AM -05,Fri 10:39AM -05,0 days 00:47:00,0h 38m,47.0,38.0
31,31,QTR1111,A320,Bahrain Int'l (BAH / OBBI),Hamad Int'l (DOH / OTHH),Fri 05:52PM +03,Fri 06:29PM +03,0 days 00:36:00,1h 24m,36.0,84.0
32,32,BAW1312,A320,London Heathrow (LHR / EGLL),Aberdeen (ABZ / EGPD),Fri 02:52PM GMT,Fri 03:45PM GMT,0 days 01:04:00,1h 24m,64.0,84.0
33,33,GAP2824,A320,Francisco Bangoy Int'l (DVO / RPMD),,,,,,,
34,34,CSZ9652,A320,Quanzhou Jinjiang (JJN / ZSQZ),Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 10:52PM CST,Sat 12:05AM CST,0 days 01:14:00,1h 8m,74.0,68.0
35,35,EJU1683,A320,Nice Cote d'Azur (NCE / LFMN),Leonardo da Vinci Int'l (Fiumicino Int'l) (FCO / LIRF),Fri 03:52PM CET,Fri 04:32PM CET,0 days 00:40:00,0h 50m,40.0,50.0
36,36,LPE2380,A320,Jorge Chávez Int'l (LIM / SPJC),Jorge Newbery (AEP / SABE),Fri 09:52AM -05,Fri 03:52PM -03,0 days 04:00:00,4h 22m,240.0,262.0
37,37,BAW485,A320,Barcelona Int'l (BCN / LEBL),London Heathrow (LHR / EGLL),Fri 03:52PM CET,Fri 04:31PM GMT,0 days 01:37:00,1h 29m,97.0,89.0
38,38,VIV3255,A320,Carlos Rovirosa Perez Int'l (VSA / MMVA),Don Miguel Hidalgo y Costilla Int'l (GDL / MMGL),Fri 08:52AM CST,Fri 10:32AM CST,0 days 01:39:00,1h 39m,99.0,99.0
39,39,ROU1512,A320,Thunder Bay Int'l (Thunder Bay) (CYQT),Toronto Pearson Int'l (CYYZ),Fri 10:52AM EDT,Fri 12:09PM EDT,0 days 01:37:00,1h 38m,97.0,98.0
40,40,AIC404,A320,Rajkot (HSR / VAHS),Indira Gandhi Int'l (DEL / VIDP),Fri 08:22PM IST,Fri 09:35PM IST,0 days 01:20:00,1h 57m,80.0,117.0
41,41,VLG8479,A320,Porto / Oporto (OPO / LPPR),Barcelona Int'l (BCN / LEBL),Fri 02:51PM WET,Fri 05:12PM CET,0 days 01:25:00,2h 12m,85.0,132.0
42,42,IBE3149,A320,Václav Havel Airport (PRG / LKPR),Adolfo Suárez Madrid-Barajas (MAD / LEMD),Fri 03:51PM CET,Fri 06:45PM CET,0 days 02:50:00,3h 10m,170.0,190.0
43,43,AIC238,A320,Shahjalal International Airport (DAC / VGHS),Indira Gandhi Int'l (DEL / VIDP),Fri 08:51PM +06,Fri 10:50PM IST,0 days 02:25:00,2h 14m,145.0,134.0
44,44,AMC625,A320,Linate (LIN / LIML),,Fri 03:51PM CET,,,,,
45,45,DLH2100,A320,Munich Int'l (MUC / EDDM),Hanover/Langenhagen Int'l (HAJ / EDDV),Fri 03:51PM CET,Fri 04:35PM CET,0 days 00:45:00,1h 19m,45.0,79.0
46,46,TAM3783,A320,Guararapes Int'l (Gilberto Freyre Int'l) (REC / SBRF),Presidente Juscelino Kubitschek Int'l (BSB / SBBR),Fri 11:51AM -03,Fri 02:11PM -03,0 days 02:20:00,2h 21m,140.0,141.0
47,47,CSN6242,A320,Xining Caojiabu (XNN / ZLXN),Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 10:51PM CST,Sat 01:35AM CST,0 days 02:44:00,3h 11m,164.0,191.0
