,Aircraft,Flight Type,Origin,Destination,Departure_Date,Departure_Time,Arrival_Date,Arrival_Time,EA_Time,RA_Time,Delay_Time
0,FHY8014,A320,Antalya (AYT / LTAI),,10.03.2024,12:07,,,,,
1,AIQ3017,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Phuket Int'l (HKT / VTSP),10.03.2024,16:07,10.03.2024,17:22,75.0,86.0,11.0
2,MMA334,A320,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Yangon Int'l (RGN / VYYY),10.03.2024,16:06,10.03.2024,16:36,60.0,50.0,-10.0
3,CSZ9756,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Yangzhou Taizhou (YTY / ZSYA),10.03.2024,17:06,10.03.2024,18:35,89.0,134.0,45.0
4,JBU729,A320,Rafael Hernandez (BQN / TJBQ),,,,,,,,
5,KZR7141,A320,Almaty (ALA / UAAA),Narimanovka (KSN / UAUU),10.03.2024,15:06,10.03.2024,17:11,125.0,132.0,7.0
6,BAW565,A320,Linate (LIN / LIML),London Heathrow (LHR / EGLL),10.03.2024,11:06,10.03.2024,11:32,94.0,126.0,32.0
7,AFL1248,A320,Sheremetyevo Int'l (SVO / UUEE),Orenburg Tsentralny (REN / UWOO),10.03.2024,12:06,10.03.2024,16:01,115.0,118.0,3.0
8,AIQ655,A320,Tan Son Nhat Int'l (SGN / VVTS),Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),10.03.2024,16:06,10.03.2024,17:26,80.0,120.0,40.0
9,VTI627,A320,Indira Gandhi Int'l (DEL / VIDP),Udaipur (UDR / VAUD),10.03.2024,14:36,10.03.2024,15:41,65.0,53.0,-12.0
10,JSA535,A320,Singapore Changi (SIN / WSSS),,10.03.2024,17:06,,,,,
11,BTK6293,A320,Sultan Hasanuddin Int'l (UPG / WAAA),Jakarta-Soekarno-Hatta Int'l (CGK / WIII),10.03.2024,17:06,10.03.2024,18:06,120.0,103.0,-17.0
12,NKS883,A320,Luis Munoz Marin Intl (SJU / TJSJ),Orlando Intl (KMCO),10.03.2024,05:06,10.03.2024,08:07,181.0,165.0,-16.0
13,NMA140,A320,Cairo Int'l (CAI / HECA),Prince Nayef bin Abdulaziz Regional Airport (ELQ / OEGS),10.03.2024,11:05,10.03.2024,13:55,110.0,137.0,27.0
14,APG778,A320,Mactan-Cebu Int'l (CEB / RPVM),Manila Int'l (MNL / RPLL),10.03.2024,17:05,10.03.2024,18:20,75.0,84.0,9.0
15,EWG6812,A320,Palma de Mallorca (or Son Sant Joan) (PMI / LEPA),,,,,,,,
16,ABY581,A320,Borg El Arab (HBE / HEBA),Sharjah Int'l (SHJ / OMSJ),10.03.2024,11:05,10.03.2024,16:25,200.0,236.0,36.0
17,AFL16,A320,Sheremetyevo Int'l (SVO / UUEE),Pulkovo (LED / ULLI),10.03.2024,12:05,10.03.2024,12:44,56.0,85.0,29.0
18,AWQ260,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Singapore Changi (SIN / WSSS),10.03.2024,16:05,10.03.2024,19:00,100.0,113.0,13.0
19,CSN8842,A320,Kunming Changshui Int'l (KMG / ZPPP),Beijing Daxing International Airport (PKX / ZBAD),10.03.2024,17:05,10.03.2024,19:53,168.0,216.0,48.0
20,LDA13,A320,Vienna Int'l (Schwechat) (VIE / LOWW),Barcelona Int'l (BCN / LEBL),10.03.2024,11:05,10.03.2024,13:14,129.0,125.0,-4.0
21,VLG1174,A320,Valencia (VLC / LEVC),,,,,,,,
22,AFL1053,A320,Uytash (MCX / URML),Sheremetyevo Int'l (SVO / UUEE),10.03.2024,12:05,10.03.2024,15:05,180.0,217.0,37.0
23,EZY3314,A320,Krakow Int'l (KRK / EPKK),Edinburgh (EDI / EGPH),10.03.2024,11:05,10.03.2024,12:16,120.0,139.0,19.0
24,TAM3191,A320,Marechal Rondon (CGB / SBCY),Presidente Juscelino Kubitschek Int'l (BSB / SBBR),10.03.2024,05:05,10.03.2024,07:20,75.0,78.0,3.0
25,EJU4861,A320,Paris Orly (ORY / LFPO),Nice Cote d'Azur (NCE / LFMN),10.03.2024,11:05,10.03.2024,12:07,62.0,85.0,23.0
26,EIN651,A320,Near Frankfurt am Main,Dublin Int'l (DUB / EIDW),10.03.2024,11:05,10.03.2024,11:44,100.0,127.0,27.0
27,BNL122,A320,Tunis-Carthage Int'l (TUN / DTTA),Misrata Airport (MRA / HLMS),10.03.2024,10:05,10.03.2024,11:55,50.0,84.0,34.0
28,EWG22H,A320,Nice Cote d'Azur (NCE / LFMN),,10.03.2024,11:05,,,,,
29,APG228,A320,Caticlan (Godofredo P. Ramos) (MPH / RPVE),Manila Int'l (MNL / RPLL),10.03.2024,17:05,10.03.2024,17:50,45.0,94.0,49.0
30,TVJ3536,A320,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Hangzhou Xiaoshan Int'l (HGH / ZSHC),10.03.2024,16:04,10.03.2024,20:44,220.0,207.0,-13.0
31,JST934,A320,Brisbane (BNE / YBBN),Cairns Int'l (CNS / YBCS),10.03.2024,19:04,10.03.2024,20:59,115.0,159.0,44.0
32,BAW685,A320,Innsbruck (Kranebitten) (INN / LOWI),London Heathrow (LHR / EGLL),10.03.2024,11:04,10.03.2024,11:37,89.0,127.0,38.0
33,TAR643,A320,Vienna Int'l (Schwechat) (VIE / LOWW),Tunis-Carthage Int'l (TUN / DTTA),10.03.2024,11:04,10.03.2024,11:50,110.0,97.0,-13.0
34,AXM378,A320,Kuala Lumpur Int'l (KUL / WMKK),Ngurah Rai/Bali Intl (DPS / WADD),10.03.2024,17:04,10.03.2024,19:44,160.0,154.0,-6.0
35,JBU1354,A320,Ontario Intl (KONT),John F Kennedy Intl (KJFK),10.03.2024,02:04,10.03.2024,09:18,252.0,258.0,6.0
36,CDC8890,A320,Xiangfan (XFN / ZHXF),Guangzhou Baiyun Int'l (CAN / ZGGG),10.03.2024,17:04,10.03.2024,18:48,103.0,102.0,-1.0
37,IAD592,A320,Surat (STV / VASU),Netaji Subhash Chandra Bose Int'l (CCU / VECC),10.03.2024,14:33,10.03.2024,16:48,135.0,135.0,0.0
38,VLG8482,A320,Václav Havel Airport (PRG / LKPR),,10.03.2024,11:03,,,,,
